Experiment Type,Preconditioning/RateofConv,Derivative,Perturbation,Execution Time,Iterations,F(x),Norm Gradient(x),Experimental Order of Convergence,Converged
fixed,yes,adaptive_forward,0.01,79.85461187362671,18,8.824392964076246,0.7300180230039005,nan,False
fixed,yes,adaptive_forward,0.0001,82.37864661216736,19,8.892301133049054e-05,0.006197222534307987,nan,False
fixed,yes,adaptive_forward,1e-06,48.45994329452515,11,3.903291803203345e-09,9.86390916611475e-06,1.0760528355461625,True
fixed,yes,adaptive_forward,1e-08,80.84266352653503,15,50199.680565217684,2932.0641155327494,nan,False
fixed,yes,adaptive_forward,1e-10,85.64904499053955,9,50412.69833571288,2940.5380496453654,nan,False
fixed,yes,adaptive_forward,1e-12,84.15598106384277,17,50412.723115862565,2911.2742140418472,nan,False
fixed,yes,adaptive_backward,0.01,82.42972612380981,19,0.0075964350499588855,8.979418931627388,nan,False
fixed,yes,adaptive_backward,0.0001,79.73188138008118,18,1.343671685008043e-05,0.012617557010589697,nan,False
fixed,yes,adaptive_backward,1e-06,83.61356663703918,19,8.477612394878486e-11,3.8510398599858655e-05,nan,False
fixed,yes,adaptive_backward,1e-08,82.1442449092865,15,50133.6681082015,2929.3259906249214,nan,False
fixed,yes,adaptive_backward,1e-10,82.45411109924316,12,50412.69825901286,2940.539498915327,nan,False
fixed,yes,adaptive_backward,1e-12,97.3855652809143,14,50412.72311677503,2910.910504803753,nan,False
fixed,yes,adaptive_central,0.01,83.53805041313171,15,1.5309283662815256e-06,0.06550478740845873,nan,False
fixed,yes,adaptive_central,0.0001,65.28582668304443,12,3.7069952867980464e-13,8.293545942360597e-06,0.9942898821802586,True
fixed,yes,adaptive_central,1e-06,68.4905059337616,12,1.0712383535869308e-13,8.06714834582661e-07,0.9913336570161984,True
fixed,yes,adaptive_central,1e-08,81.61199760437012,13,49536.219981127375,2904.5480485142143,nan,False
fixed,yes,adaptive_central,1e-10,84.0399272441864,14,50412.579999655136,2940.542117051207,nan,False
fixed,yes,adaptive_central,1e-12,85.40080261230469,14,50412.72310785771,3040.1598736797914,nan,False
fixed,yes,exact,nan,37.155359745025635,12,2.980478722470496e-11,3.505511625449075e-06,1.0000257557145051,True
fixed,yes,forward,0.01,80.22907543182373,18,8.824392964076246,0.7300180230039005,nan,False
fixed,yes,forward,0.0001,82.87742066383362,19,8.892301133049054e-05,0.006197222534307987,nan,False
fixed,yes,forward,1e-06,49.140981674194336,11,3.903291803203345e-09,9.86390916611475e-06,1.0760528355461625,True
fixed,yes,forward,1e-08,80.79997324943542,15,50199.680565217684,2932.0641155327494,nan,False
fixed,yes,forward,1e-10,85.05757164955139,9,50412.69833571288,2940.5380496453654,nan,False
fixed,yes,forward,1e-12,80.45302510261536,16,50412.72311601631,2911.410593292026,nan,False
fixed,yes,backward,0.01,80.24958610534668,18,0.010844532591059476,8.861687355452693,nan,False
fixed,yes,backward,0.0001,83.58444213867188,19,1.3442034382176652e-05,0.012616514072136946,nan,False
fixed,yes,backward,1e-06,82.72666764259338,19,5.7660481757170176e-11,4.005098570826774e-05,nan,False
