Experiment Type,Preconditioning/RateofConv,Derivative,Perturbation,Execution Time,Iterations,F(x),Norm Gradient(x),Experimental Order of Convergence,Converged
fixed,yes,exact,nan,2.947761297225952,21,9.359939107848684e-19,5.001332884971813e-09,0.7747551335629902,True
fixed,yes,forward,0.01,10.102849245071411,27,102.69713485445538,4.864191660221676e-07,0.9999937157892055,True
fixed,yes,forward,0.0001,8.204349756240845,23,0.2050818833238969,4.603204156545215e-08,0.9398177300219575,True
fixed,yes,forward,1e-06,8.591968536376953,23,2.2558797371417615e-05,1.239198317883154e-09,0.8055222169990195,True
fixed,yes,forward,1e-08,20.11937165260315,50,1018.1202392662408,38.81177901426133,nan,False
fixed,yes,forward,1e-10,20.17711043357849,46,1013.3110840496292,59.71122096378944,nan,False
fixed,yes,forward,1e-12,20.155095100402832,44,1255.1205021908202,398.21979110498023,nan,False
fixed,yes,backward,0.01,20.00687885284424,54,50.08307701638554,194.8443741995965,nan,False
fixed,yes,backward,0.0001,20.07951521873474,51,0.0028127790857314138,1.1983788331805059,nan,False
fixed,yes,backward,1e-06,20.195361137390137,52,2.2002127202410657e-05,0.018177368950043005,nan,False
fixed,yes,backward,1e-08,20.33537983894348,53,1040.6913211878864,137.55937597203794,nan,False
fixed,yes,backward,1e-10,20.069783210754395,51,2053.5681959676385,1078.8094896370783,nan,False
fixed,yes,backward,1e-12,20.250110864639282,50,1024.0983152483584,80.90797595164226,nan,False
fixed,yes,central,0.01,10.22241997718811,21,0.09611717083416826,6.708178112816293e-07,0.4123667173670441,True
fixed,yes,central,0.0001,10.07988977432251,21,1.000062151911169e-09,5.3556590128844735e-09,0.7787490867117314,True
fixed,yes,central,1e-06,11.039418697357178,23,1.559476431091452e-17,4.670243651010117e-08,1.2804889587747412,True
fixed,yes,central,1e-08,20.2559175491333,44,1076.299356249357,19.678767404008802,nan,False
fixed,yes,central,1e-10,20.247756004333496,45,6042.700239701477,2601.4252221522866,nan,False
fixed,yes,central,1e-12,20.601244688034058,44,4357.540501597403,1689.297415264073,nan,False
fixed,yes,exact,0.01,11.55592393875122,28,102.69713450999957,3.4701042256838084e-07,1.0000074284478107,True
fixed,yes,exact,0.0001,8.638229846954346,21,0.20508213235649186,6.687227894908583e-07,0.2916635994537157,True
fixed,yes,exact,1e-06,9.475685834884644,25,2.255879504122942e-05,2.0264747393071186e-10,0.9321071265218803,True
fixed,yes,exact,1e-08,20.166486740112305,49,839.0948805955516,77.49263804014203,nan,False
fixed,yes,exact,1e-10,20.13192343711853,50,991.0610349674712,41.02980472328464,nan,False
fixed,yes,exact,1e-12,20.441494464874268,47,1004.0927549045431,37.117784349291576,nan,False
fixed,yes,exact,0.01,20.03791332244873,52,43.19698979572597,175.2746972170411,nan,False
fixed,yes,exact,0.0001,20.028849124908447,53,0.07094686837471262,1.824821876083318,nan,False
fixed,yes,exact,1e-06,20.017780780792236,54,2.2420698860321195e-05,0.004967338350840825,nan,False
fixed,yes,exact,1e-08,20.26412558555603,54,1029.2735330915127,212.2956545518621,nan,False
fixed,yes,exact,1e-10,20.35402822494507,49,891.1900794345016,55.30267658815584,nan,False
fixed,yes,exact,1e-12,20.306989908218384,43,3357.3395325238034,1430.080035829447,nan,False
fixed,yes,exact,0.01,9.435294151306152,21,0.09611692586280146,1.1078994323073144e-07,0.4457378042199944,True
fixed,yes,exact,0.0001,9.720924854278564,21,1.0000560258700093e-09,4.527654983236035e-09,0.7703035614190465,True
fixed,yes,exact,1e-06,10.464274883270264,23,1.0502211491416613e-17,2.0615384204278433e-09,2.237441787302346,True
fixed,yes,exact,1e-08,20.10084342956543,43,1025.6772451334823,19.875973810483057,nan,False
fixed,yes,exact,1e-10,20.234380960464478,43,4927.7721684330845,2052.9138917638165,nan,False
fixed,yes,exact,1e-12,20.064247608184814,43,1063.8949366168117,478.0146482637472,nan,False
fixed,no,exact,nan,0.3546319007873535,21,9.359939107848684e-19,5.001332884971813e-09,0.774755131932394,True
fixed,no,forward,0.01,8.40560507774353,27,102.69713485445817,4.864067339302063e-07,1.0000040539835495,True
fixed,no,forward,0.0001,7.11822772026062,23,0.2050818830883741,4.5626381964376213e-08,0.9319324598213629,True
fixed,no,forward,1e-06,7.99509072303772,24,2.2558823378790547e-05,5.642514314043334e-09,2.6233423422267244,True
fixed,no,forward,1e-08,20.46397590637207,58,1040.8712766973806,41.30321139215904,nan,False
fixed,no,forward,1e-10,20.15938401222229,63,1823.9660926181177,829.5007824201525,nan,False
fixed,no,forward,1e-12,20.26702857017517,59,1153.9856690880654,35.90776768078229,nan,False
fixed,no,backward,0.01,20.1894748210907,67,50.0830769730181,194.84440349967042,nan,False
fixed,no,backward,0.0001,20.300650358200073,68,0.0029771449480828494,1.3649348752722503,nan,False
fixed,no,backward,1e-06,20.10071325302124,69,2.028564063438438e-05,0.009630731422157384,nan,False
fixed,no,backward,1e-08,20.105649948120117,62,1012.7490327796303,48.71193376362642,nan,False
