Experiment Type,Preconditioning/RateofConv,Derivative,Perturbation,Execution Time,Iterations,F(x),Norm Gradient(x),Experimental Order of Convergence,Converged
fixed,superlinear,exact,nan,1.110539436340332,64,1.0152513907408057e-14,6.367526495094769e-08,0.577724965099432,True
fixed,superlinear,forward,0.01,28.56500220298767,8,258.4479101487417,25.598022956153024,nan,False
fixed,superlinear,forward,0.0001,85.02531933784485,55,370.6364025720615,61.060136991366676,nan,False
fixed,superlinear,forward,1e-06,20.19625449180603,62,5.1694054991310425e-05,0.0015437972219080017,nan,False
fixed,superlinear,forward,1e-08,72.31914973258972,3,1032.3491595351127,25.94409500987373,nan,False
fixed,superlinear,forward,1e-10,80.71704244613647,23,1.03947913929594e+41,0.0,nan,False
fixed,superlinear,forward,1e-12,20.055031061172485,54,997.803217171215,37.78065239170277,nan,False
fixed,superlinear,backward,0.01,42.457265853881836,8,657.1181027627631,227.34895943307535,nan,False
fixed,superlinear,backward,0.0001,20.317951202392578,59,0.0007285975686419505,0.5822839780690641,nan,False
fixed,superlinear,backward,1e-06,20.01880979537964,57,1.236262911552666,0.7469877338099228,nan,False
fixed,superlinear,backward,1e-08,73.72410655021667,3,1037.6718586805132,78.20140503401181,nan,False
fixed,superlinear,backward,1e-10,89.5046157836914,6,252.45953918921188,621.9652603065563,nan,False
fixed,superlinear,backward,1e-12,20.549121856689453,47,1002.9745336931596,56.56031577228466,nan,False
fixed,superlinear,central,0.01,31.863869428634644,14,250.97533658946148,138.72951924674058,nan,False
fixed,superlinear,central,0.0001,20.463274717330933,35,958.7223315016424,34.93386645416242,nan,False
fixed,superlinear,central,1e-06,20.39207363128662,35,958.7057023539184,34.951444348039146,nan,False
fixed,superlinear,central,1e-08,162.76941323280334,15,624.2703636579946,116.91582190796808,nan,False
fixed,superlinear,central,1e-10,155.7435803413391,4,1209.0933434347771,445.3070232043056,nan,False
fixed,superlinear,central,1e-12,20.515614986419678,32,1014.533685269892,38.28951766307254,nan,False
fixed,superlinear,exact,0.01,85.63942313194275,8,261.46107892895975,35.31514375326893,nan,False
fixed,superlinear,exact,0.0001,20.101979970932007,54,504.19095771394905,24.69949911917746,nan,False
fixed,superlinear,exact,1e-06,20.133719444274902,55,2.2619492500452084e-05,0.0017837253663342454,nan,False
fixed,superlinear,exact,1e-08,80.8330910205841,3,1020.0374763603417,100.10626669952025,nan,False
fixed,superlinear,exact,1e-10,91.98617720603943,33,995.8462868114144,41.29125721134694,nan,False
fixed,superlinear,exact,1e-12,84.10513353347778,10,60.311327324488104,102.11931086856517,nan,False
fixed,superlinear,exact,0.01,85.6685049533844,14,235.6292120435858,53.90348824172625,nan,False
fixed,superlinear,exact,0.0001,95.01583743095398,35,531.7088184702285,81.44712541015103,nan,False
fixed,superlinear,exact,1e-06,20.014328956604004,52,3.1891562244271476,1.2425071565026768,nan,False
fixed,superlinear,exact,1e-08,86.22882676124573,5,896.8185201089307,209.05616951128192,nan,False
fixed,superlinear,exact,1e-10,80.41296887397766,4,1272.111960641692,556.2234120364786,nan,False
fixed,superlinear,exact,1e-12,20.193418741226196,49,1003.5535363711741,50.93327719184465,nan,False
fixed,superlinear,exact,0.01,41.8090558052063,14,260.25830522453384,60.212727438874246,nan,False
fixed,superlinear,exact,0.0001,20.04544973373413,28,972.8278356107804,24.135735186158893,nan,False
fixed,superlinear,exact,1e-06,20.278332233428955,30,968.758477521209,24.337365029087252,nan,False
fixed,superlinear,exact,1e-08,168.51314425468445,3,997.4842404758078,198.2790552829271,nan,False
fixed,superlinear,exact,1e-10,188.6387164592743,14,1019.5324983045787,48.353035205844805,nan,False
fixed,superlinear,exact,1e-12,20.132125854492188,34,995.543579250403,30.505909277791314,nan,False
fixed,quadratic,exact,nan,1.2100913524627686,64,5.1799811784239096e-27,1.017839002831382e-13,0.577724965099432,True
fixed,quadratic,forward,0.01,31.15646505355835,8,258.4479101487417,25.598022956153024,nan,False
fixed,quadratic,forward,0.0001,96.500070810318,55,370.6364025720615,61.060136991366676,nan,False
fixed,quadratic,forward,1e-06,20.261574268341064,57,2.569543298048103,21.55996418665769,nan,False
fixed,quadratic,forward,1e-08,75.87133646011353,3,1032.3491595351127,25.94409500987373,nan,False
fixed,quadratic,forward,1e-10,85.15515565872192,23,1.03947913929594e+41,0.0,nan,False
fixed,quadratic,forward,1e-12,20.068574905395508,52,999.4839179482965,39.22443038909081,nan,False
fixed,quadratic,backward,0.01,44.962236642837524,8,657.1181027627631,227.34895943307535,nan,False
fixed,quadratic,backward,0.0001,20.236117601394653,53,0.0007613312636130029,0.5903406284148128,nan,False
fixed,quadratic,backward,1e-06,20.316330194473267,54,5.458450632767861,34.249468853571734,nan,False
fixed,quadratic,backward,1e-08,78.7222728729248,3,1037.6718586805132,78.20140503401181,nan,False
fixed,quadratic,backward,1e-10,75.93992352485657,6,252.45953918921188,621.9652603065563,nan,False
fixed,quadratic,backward,1e-12,20.179429292678833,51,999.3270662160626,52.27715893484107,nan,False
fixed,quadratic,central,0.01,24.830791473388672,14,250.97533658946148,138.72951924674058,nan,False
fixed,quadratic,central,0.0001,20.320929527282715,33,962.7153187960678,35.41300092733361,nan,False
fixed,quadratic,central,1e-06,20.11444640159607,31,966.7222091696995,35.926742944987105,nan,False
fixed,quadratic,central,1e-08,171.9764382839203,15,624.2703636579946,116.91582190796808,nan,False
fixed,quadratic,central,1e-10,165.25001502037048,4,1209.0933434347771,445.3070232043056,nan,False
fixed,quadratic,central,1e-12,20.291646718978882,29,1016.0401318768256,38.28361005016709,nan,False
fixed,quadratic,exact,0.01,88.62676572799683,8,261.46107892895975,35.31514375326893,nan,False
fixed,quadratic,exact,0.0001,20.247431755065918,49,661.110777281263,56.71277930573922,nan,False
fixed,quadratic,exact,1e-06,19.76801300048828,50,2.2547654522111514e-05,4.93703221256015e-06,0.222509686685019,True
fixed,quadratic,exact,1e-08,88.53432846069336,3,1020.0374763603417,100.10626669952025,nan,False
fixed,quadratic,exact,1e-10,99.36869525909424,33,995.8462868114144,41.29125721134694,nan,False
fixed,quadratic,exact,1e-12,83.92495632171631,10,60.311327324488104,102.11931086856517,nan,False
fixed,quadratic,exact,0.01,86.40480518341064,14,235.6292120435858,53.90348824172625,nan,False
fixed,quadratic,exact,0.0001,96.09292912483215,35,531.7088184702285,81.44712541015103,nan,False
fixed,quadratic,exact,1e-06,20.181406021118164,51,4.232995061533156,29.496825917803502,nan,False
fixed,quadratic,exact,1e-08,85.94019341468811,5,896.8185201089307,209.05616951128192,nan,False
fixed,quadratic,exact,1e-10,85.87392544746399,4,1272.111960641692,556.2234120364786,nan,False
